Geneid	gene_name	control_R1	control_R2	control_R3	sox8_oe_R1	sox8_oe_R2	sox8_oe_R3
ENSGALG00000033598	HIRA	711	853	946	954	1210	1030
ENSGALG00000053063	MRPL40	5756	8735	6391	7090	8000	6844
ENSGALG00000044654	C22orf39	846	1854	1108	1288	1311	1296
ENSGALG00000001593	UFD1	5136	6986	6035	6153	3895	3602
ENSGALG00000001616	CDC45	10327	8678	10430	10378	3542	4221
ENSGALG00000001621	cldn5	0	6	0	2	6	6
ENSGALG00000001652	SEPT2L	24225	20081	23249	24891	2432	3638
ENSGALG00000001688	SEPT5	3209	5304	3855	5000	2684	3485
ENSGALG00000047159	gga-mir-12226	0	0	0	0	0	0
ENSGALG00000025197	gga-mir-1673	0	0	0	0	0	0
ENSGALG00000025533	gga-mir-1729	0	0	0	0	0	0
ENSGALG00000021529	GP1BB	24	58	100	149	85	118
ENSGALG00000041182	NA	0	1	1	1	1	0
ENSGALG00000001925	GNB1L	1825	2344	1854	2276	1494	1457
ENSGALG00000001988	TXNRD2	1030	637	923	1045	549	554
ENSGALG00000002024	COMT	2130	2125	2403	3129	1010	1477
ENSGALG00000043373	ARVCF	2136	2493	2477	3086	2261	2426
ENSGALG00000002056	TANGO2	1761	1788	2289	2111	1176	742
ENSGALG00000033126	DGCR8	1757	2677	2648	2639	1928	2010
ENSGALG00000053599	NA	0	0	0	0	0	0
ENSGALG00000025271	NA	0	0	0	0	0	0
ENSGALG00000002094	TRMT2A	692	731	750	679	773	783
ENSGALG00000002107	RANBP1	34029	37613	36244	36176	10127	11628
ENSGALG00000025587	RF00599	54	23	48	19	8	20
ENSGALG00000002124	ZDHHC8	258	209	233	181	226	267
ENSGALG00000002137	PGAM5	1247	1670	1164	1258	216	545
ENSGALG00000002143	ANKLE2	1657	2073	2167	1699	1749	1961
ENSGALG00000002158	GOLGA3	991	1092	743	745	1393	1160
ENSGALG00000050504	NA	0	5	16	0	11	9
ENSGALG00000002180	CHFR	2450	1983	2667	2737	900	827
ENSGALG00000049803	NA	82	141	105	104	46	41
ENSGALG00000002205	FBRSL1	996	3046	1338	1841	4536	3748
ENSGALG00000054877	NA	13	15	12	13	24	21
ENSGALG00000050502	NA	0	12	32	5	0	0
ENSGALG00000050126	NA	20	2	2	0	0	0
ENSGALG00000052074	NA	0	0	0	0	0	0
ENSGALG00000047743	NA	0	8	0	0	1	11
ENSGALG00000050540	NA	5	7	60	2	13	2
ENSGALG00000025354	gga-mir-1769	0	0	0	0	0	0
ENSGALG00000002242	GALNT9	16	65	33	161	88	192
ENSGALG00000051282	NA	7	4	19	18	0	0
ENSGALG00000048122	NA	0	1	30	1	9	24
ENSGALG00000046778	NA	6	6	53	9	67	14
ENSGALG00000002272	NOC4L	8482	9399	9386	8528	3616	3111
ENSGALG00000002336	EP400	3861	4849	4175	3320	3456	3881
ENSGALG00000002354	PUS1	2164	2762	1797	1986	1669	1504
ENSGALG00000002403	ULK1	65	147	129	146	140	132
ENSGALG00000002461	NA	279	463	413	419	1028	980
ENSGALG00000002487	SFSWAP	1507	1559	2059	1579	5092	3971
ENSGALG00000048237	NA	39	39	96	94	74	17
ENSGALG00000051105	NA	0	0	0	0	0	7
ENSGALG00000002536	STX2	1456	1674	1966	1934	1736	1304
ENSGALG00000026923	RF02271	0	0	0	0	0	0
ENSGALG00000002557	GPR133	83	36	24	5	58	4
ENSGALG00000002569	RAN	102796	109048	106453	96379	16861	26706
ENSGALG00000002579	RIMBP2	179	100	184	300	320	430
ENSGALG00000002645	PIWIL1	420	184	429	768	294	372
ENSGALG00000042003	FZD10	66	59	53	72	180	75
ENSGALG00000002671	NA	200	200	292	209	72	104
ENSGALG00000002679	GLT1D1	1140	1171	1568	1803	866	771
ENSGALG00000002695	SLC15A4	1792	1995	1788	2875	377	545
ENSGALG00000002714	TMEM132C	908	1290	1162	929	2107	2716
ENSGALG00000052505	NA	0	7	12	0	2	7
ENSGALG00000049745	NA	0	1	5	0	9	0
ENSGALG00000047834	NA	2	3	0	0	2	0
ENSGALG00000053173	NA	0	3	2	0	0	2
ENSGALG00000002742	TMEM132B	121	151	199	386	265	266
ENSGALG00000002899	AACS	1305	1407	1572	818	607	666
ENSGALG00000002913	BRI3BP	960	1397	889	1353	363	410
ENSGALG00000002964	DHX37	5824	7247	6405	5732	3788	3984
ENSGALG00000041277	UBC	194915	262474	212467	245386	105728	125680
ENSGALG00000046226	SCARB1	67	36	18	52	98	85
ENSGALG00000003120	NCOR2	5186	7797	6576	5483	10152	10135
ENSGALG00000025372	gga-mir-1636	0	1	0	0	0	0
ENSGALG00000003137	RFLNA	39	15	26	17	102	104
ENSGALG00000050853	NA	0	2	8	2	0	0
ENSGALG00000003146	CCDC92	1782	1433	1817	2188	792	601
ENSGALG00000043806	DNAH10	436	227	433	230	415	504
ENSGALG00000003194	ATP6V0A2	1264	1243	1591	1190	1346	1097
ENSGALG00000023683	TCTN2	1739	2560	1693	2309	844	800
ENSGALG00000023682	GTF2H3	3497	4475	4324	4948	1341	1588
ENSGALG00000003259	EIF2B1	8355	10011	8911	8273	3424	4986
ENSGALG00000003298	DDX55	1934	1687	1895	1253	1433	1309
ENSGALG00000003307	TMED2	8710	11061	9811	10495	4107	5002
ENSGALG00000003314	RILPL1	487	690	684	379	885	1102
ENSGALG00000003318	SNRNP35	391	921	439	616	422	519
ENSGALG00000049339	gga-mir-7476	121	187	217	198	42	53
ENSGALG00000003321	RILPL2	1021	1983	1169	1763	1738	1585
ENSGALG00000003325	NA	614	673	683	657	619	719
ENSGALG00000003392	SBNO1	4082	4950	4991	5000	3767	4535
ENSGALG00000054554	NA	11	19	21	26	4	30
ENSGALG00000034919	CDK2AP1	1992	2310	2369	2294	842	972
ENSGALG00000025202	gga-mir-1671	0	0	0	0	0	1
ENSGALG00000029390	C15H12ORF65	1290	1786	1471	1554	2073	1419
ENSGALG00000051644	NA	706	480	696	565	242	209
ENSGALG00000003419	NA	813	756	1021	710	652	537
ENSGALG00000003645	NA	109	96	186	65	130	88
ENSGALG00000052952	NA	0	0	43	5	36	71
ENSGALG00000003682	ARL6IP4	1967	2582	2208	1818	3078	2938
ENSGALG00000003687	OGFOD2	1194	1615	1091	1165	677	578
ENSGALG00000003696	NA	2149	2909	2097	2058	1134	859
ENSGALG00000003736	ABCB9	85	49	26	56	93	106
ENSGALG00000003743	VPS37B	285	504	442	551	655	222
ENSGALG00000031511	HIP1R	224	576	312	695	855	651
ENSGALG00000003795	DENR	6563	9921	7600	7242	4780	4944
ENSGALG00000003807	GPN3	3844	5465	4481	4594	2244	2317
ENSGALG00000003820	ARPC3	5663	8264	7111	8188	5824	6457
ENSGALG00000003826	ANAPC7	3342	3935	3751	4194	1212	1440
ENSGALG00000032287	ATP2A2	3862	4321	4610	3962	4508	4164
ENSGALG00000034412	NA	3	7	40	7	60	63
ENSGALG00000003854	IFT81	809	1232	1392	1482	1094	1054
ENSGALG00000003863	P2RX7	38	89	81	0	14	41
ENSGALG00000003901	P2RX4	1034	1852	1357	1082	510	411
ENSGALG00000040131	NA	62	308	191	286	368	321
ENSGALG00000004179	ANAPC5	4886	4399	3899	3745	1646	1334
ENSGALG00000004190	RNF34	2349	3231	2725	2984	1462	1300
ENSGALG00000004225	KDM2B	1274	2023	1359	1168	620	1106
ENSGALG00000054222	NA	354	391	399	444	389	315
ENSGALG00000049855	NA	0	0	0	0	0	3
ENSGALG00000053228	NA	113	68	111	76	97	77
ENSGALG00000004240	ORAI1	2401	2798	2540	2946	1115	1657
ENSGALG00000004247	MORN3	52	142	67	57	41	52
ENSGALG00000004254	TMEM120B	4096	3775	4055	3468	1504	1228
ENSGALG00000039724	RHOF	76	185	158	267	327	202
ENSGALG00000021405	NA	420	437	425	442	518	353
ENSGALG00000004324	SETD1B	633	707	481	567	1660	1141
ENSGALG00000004343	HPD	213	313	187	331	120	166
ENSGALG00000004352	PSMD9	5868	8195	6719	6537	1328	1865
ENSGALG00000004365	NA	61	261	73	90	185	124
ENSGALG00000004379	BCL7A	291	476	382	412	700	363
ENSGALG00000004397	MLXIP	226	235	221	134	146	288
ENSGALG00000025260	gga-mir-1764	0	0	0	0	3	0
ENSGALG00000054378	LRRC43	26	0	44	0	64	4
ENSGALG00000028803	B3GNT4	107	55	90	96	56	1
ENSGALG00000004412	DIABLO	7870	8668	8323	8943	1576	2191
ENSGALG00000004440	NA	2492	2705	1772	3145	1059	1397
ENSGALG00000004467	CLIP1	1275	1701	1831	1068	2212	2282
ENSGALG00000004486	ZCCHC8	1702	1511	2109	1475	1011	1082
ENSGALG00000004493	RSRC2	6272	7383	7061	6565	6043	5605
ENSGALG00000047346	NA	319	176	271	153	178	163
ENSGALG00000004515	NA	1293	866	1277	1134	608	901
ENSGALG00000004529	VPS29	6957	8127	7822	7231	2976	2617
ENSGALG00000047781	RAD9B	0	94	109	75	65	34
ENSGALG00000004550	PPTC7	145	199	159	218	18	155
ENSGALG00000041861	TCTN1	745	681	779	692	60	208
ENSGALG00000004562	HVCN1	505	924	662	882	872	755
ENSGALG00000004571	PPP1CC	2367	4152	2734	3685	6333	5404
ENSGALG00000051704	NA	0	0	0	0	0	0
ENSGALG00000004582	MYL2	0	15	102	11	4	38
ENSGALG00000004598	CUX2	23	47	21	18	159	114
ENSGALG00000041153	PHETA1	140	396	107	332	466	229
ENSGALG00000004610	SH2B3	4	14	44	27	9	33
ENSGALG00000004625	ATXN2	2893	5343	3853	4774	8552	8242
ENSGALG00000004650	BRAP	1826	2258	1860	2280	442	727
ENSGALG00000031240	NA	126	68	128	120	87	141
ENSGALG00000004725	NA	18584	21316	20228	24306	4759	6936
ENSGALG00000004743	MAPKAPK5	289	356	397	259	877	632
ENSGALG00000021341	ADAM20	2	0	46	5	7	0
ENSGALG00000004760	TMEM116	82	100	122	120	15	68
ENSGALG00000023510	ERP29	4766	6892	4979	7819	3313	3611
ENSGALG00000041821	NAA25	9604	8592	9655	9667	3636	4381
ENSGALG00000043208	TRAFD1	308	525	468	503	391	263
ENSGALG00000032685	HECTD4	684	855	980	791	1236	1718
ENSGALG00000004818	RPL6	41717	67191	42966	48721	64536	53332
ENSGALG00000004821	PTPN11	2212	2977	2400	2458	1753	1846
ENSGALG00000051750	NA	0	0	1	8	0	4
ENSGALG00000004840	NA	1	0	1	7	0	8
ENSGALG00000048982	NA	21	0	18	43	74	41
ENSGALG00000004849	WSCD2	22	63	121	312	100	447
ENSGALG00000035182	CMKLR1	10	0	24	58	18	11
ENSGALG00000004858	FICD	638	397	493	710	148	238
ENSGALG00000039472	SART3	3632	4997	4134	3998	2499	2443
ENSGALG00000004869	ISCU	1424	1946	1196	1751	2489	2849
ENSGALG00000004901	CORO1C	4181	6697	4726	5804	4113	4037
ENSGALG00000004893	TMEM119	81	66	52	79	8	29
ENSGALG00000004928	NA	55	243	171	261	20	160
ENSGALG00000031900	NA	4	5	10	4	1	0
ENSGALG00000043053	DAO	22	55	51	33	0	2
ENSGALG00000034278	SVOP	153	262	159	231	53	71
ENSGALG00000040265	USP30	224	284	266	164	470	377
ENSGALG00000035152	ALKBH2	777	776	701	783	367	559
ENSGALG00000021285	UNG	2972	4857	2924	4018	1903	2248
ENSGALG00000028832	gga-mir-6648-1	0	0	0	0	0	0
ENSGALG00000030996	NA	0	0	1	0	1	1
ENSGALG00000048882	NA	0	0	0	0	0	0
ENSGALG00000005043	NA	0	0	0	4	0	1
ENSGALG00000005062	FOXN4	66	51	62	44	32	72
ENSGALG00000005122	MYO1H	22	28	51	43	138	122
ENSGALG00000005138	KCTD10	2268	2381	2627	2851	376	519
ENSGALG00000013851	UBE3B	256	374	314	380	175	142
ENSGALG00000029947	MMAB	389	462	401	431	483	393
ENSGALG00000049775	gga-mir-12227	0	0	0	0	0	0
ENSGALG00000013848	MVK	4294	7368	4834	7366	2104	2272
ENSGALG00000029944	FAM222A	31	251	149	101	173	232
ENSGALG00000036360	TRPV4	32	11	51	103	97	149
ENSGALG00000037998	GLTP	1017	1798	1399	1995	1223	1611
ENSGALG00000035049	NA	248	552	393	261	906	656
ENSGALG00000040844	GIT2	2500	2706	2921	2845	967	1223
ENSGALG00000043357	ANKRD13A	3506	4455	4315	4867	2174	2364
ENSGALG00000037163	NA	0	44	4	0	3	2
ENSGALG00000050258	NA	834	1506	746	1165	542	426
ENSGALG00000005379	SGSM1	1	6	10	3	17	0
ENSGALG00000026238	gga-mir-6635-3	0	0	0	0	0	0
ENSGALG00000005512	KIAA1671	2404	3240	2941	1975	2056	1834
ENSGALG00000005515	CRYBB3	0	1	1	5	0	0
ENSGALG00000026086	CRYBB2	482	533	405	110	25	39
ENSGALG00000037097	GRK3	1025	1720	1411	1121	2404	1623
ENSGALG00000045218	MYO18B	13	37	15	50	110	53
ENSGALG00000032415	SEZ6L	0	4	1	0	6	10
ENSGALG00000023396	ASPHD2	15	45	23	13	62	69
ENSGALG00000005595	HPS4	834	769	1019	1177	177	190
ENSGALG00000005614	SRRD	319	447	507	394	531	501
ENSGALG00000005623	TFIP11	2141	3043	2472	2857	2358	1972
ENSGALG00000005626	TPST2	545	697	342	397	83	219
ENSGALG00000005634	CRYBA4	43	34	15	8	2	14
ENSGALG00000005630	CRYBB1	24	125	41	62	80	68
ENSGALG00000048583	NA	49	170	130	104	328	262
ENSGALG00000051405	NA	0	7	4	0	1	0
ENSGALG00000047229	NA	4	4	1	0	0	1
ENSGALG00000047849	NA	0	0	0	0	0	0
ENSGALG00000026119	MN1	44	97	68	87	101	94
ENSGALG00000005654	PITPNB	15654	15696	15589	16784	5535	7383
ENSGALG00000005676	TTC28	275	259	290	391	444	468
ENSGALG00000025294	gga-mir-1625	0	0	0	0	0	0
ENSGALG00000005695	CHEK2	2401	1908	2262	1998	1153	1430
ENSGALG00000025951	gga-mir-6650	9	0	4	19	0	4
ENSGALG00000005706	HSCB	716	1581	822	1145	1232	994
ENSGALG00000005778	NA	165	245	340	383	134	457
ENSGALG00000005784	CCDC117	434	434	447	646	195	138
ENSGALG00000005796	XBP1	5591	6569	6026	7480	1497	1898
ENSGALG00000005803	ZNRF3	308	197	198	149	160	96
ENSGALG00000005808	KREMEN1	165	251	273	602	339	352
ENSGALG00000005824	SUSD2	25	12	27	5	54	74
ENSGALG00000005862	SBSPONL	63	242	114	236	147	98
ENSGALG00000032916	NA	77	279	124	98	701	466
ENSGALG00000051016	gga-mir-12228	0	0	0	0	0	0
ENSGALG00000044245	GSC2	4	69	24	45	26	5
ENSGALG00000005885	ESS2	5764	5548	6185	5846	2049	2016
ENSGALG00000005891	DGCR2	478	594	569	566	308	217
ENSGALG00000005896	NA	0	0	0	2	1	2
ENSGALG00000049450	NA	0	9	0	0	22	0
ENSGALG00000047395	NA	0	0	0	0	0	0
ENSGALG00000048283	NA	0	0	0	0	0	0
ENSGALG00000050477	NA	0	0	1	0	0	0
ENSGALG00000052347	NA	0	0	0	0	0	0
ENSGALG00000051167	NA	0	0	0	0	0	0
ENSGALG00000050715	NA	0	0	0	0	0	0
ENSGALG00000050545	NA	0	0	0	0	0	0
ENSGALG00000050376	NA	0	1	0	0	0	0
ENSGALG00000054874	NA	0	0	0	0	1	0
ENSGALG00000048390	NA	0	1	0	0	0	0
ENSGALG00000050023	NA	0	0	0	0	0	0
ENSGALG00000053057	NA	0	0	0	0	0	0
ENSGALG00000049186	NA	0	0	0	0	0	0
ENSGALG00000048383	NA	0	0	0	0	1	0
ENSGALG00000052004	NA	0	0	0	0	0	0
ENSGALG00000051474	NA	0	0	0	0	0	0
ENSGALG00000046719	NA	0	0	0	0	0	0
ENSGALG00000047506	NA	0	2	0	0	1	0
ENSGALG00000052566	NA	0	0	0	0	1	0
ENSGALG00000049486	NA	0	0	0	0	0	0
ENSGALG00000047343	NA	0	0	0	0	0	0
ENSGALG00000050761	NA	0	0	0	0	0	2
ENSGALG00000049010	NA	0	0	0	0	1	0
ENSGALG00000005951	VPS29L	19	72	56	89	9	8
ENSGALG00000021136	VPREB3	0	0	0	11	41	2
ENSGALG00000028810	CHCHD10	105	408	210	298	1794	700
ENSGALG00000005968	MMP11	56	109	56	67	82	89
ENSGALG00000005983	SMARCB1	26117	29470	25996	26503	8171	8822
ENSGALG00000005994	DERL3	820	1280	1148	1745	762	488
ENSGALG00000006053	SLC2A11	62	59	29	129	132	75
ENSGALG00000021126	SLC2A11L1	31	20	35	14	4	34
ENSGALG00000030121	NA	5	22	49	9	28	33
ENSGALG00000006320	NA	0	2	0	7	9	3
ENSGALG00000046572	NA	3	1	0	0	0	0
ENSGALG00000006326	MIF	50073	62085	52090	44595	13538	16881
ENSGALG00000032690	DDX51	664	826	766	774	502	875
ENSGALG00000005204	NA	65	140	87	130	3	76
ENSGALG00000006344	GSTT1	233	258	290	346	88	87
ENSGALG00000006350	DDT	26802	22696	24240	22264	2077	2444
ENSGALG00000006363	CABIN1	1597	1768	2415	1878	662	583
ENSGALG00000006374	TBX6	27	21	0	1	20	0
ENSGALG00000052765	NA	297	478	305	598	447	238
ENSGALG00000006390	CRKL	565	1222	793	1080	494	416
ENSGALG00000006422	NA	169	222	162	193	211	269
ENSGALG00000054447	NA	118	225	125	257	36	90
ENSGALG00000006430	NA	795	939	1117	1636	725	711
ENSGALG00000006455	SMPD4	3221	3314	3741	3146	907	1286
ENSGALG00000048093	NA	43	36	31	30	87	61
ENSGALG00000040504	GGT5	562	701	859	578	144	150
ENSGALG00000006565	NA	345	481	284	538	210	220
ENSGALG00000006588	NA	73	109	59	63	285	158
ENSGALG00000006596	SNRPD3	24888	29081	28554	29237	11409	11429
ENSGALG00000006607	GUCD1	121	87	135	229	98	177
ENSGALG00000027040	RF02271	0	1	0	0	0	0
ENSGALG00000006627	UPB1	16	38	51	59	36	86
ENSGALG00000006642	ADORA2A	75	53	32	83	10	29
ENSGALG00000006648	SPECC1L	1219	1660	1866	1460	1649	1176
ENSGALG00000006695	BCR	304	420	398	375	442	568
ENSGALG00000006710	RAB36	718	795	761	661	149	387
ENSGALG00000006712	RSPH14	451	419	289	291	84	154
ENSGALG00000006719	GNAZ	108	100	124	82	187	135
ENSGALG00000006728	SLC5A1	58	18	71	80	84	70
ENSGALG00000030684	NA	5	6	2	0	2	30
ENSGALG00000006743	YWHAH	7310	11025	8493	11147	3381	3400
ENSGALG00000046820	NA	0	0	0	0	28	3
ENSGALG00000006766	NA	938	1143	1050	764	831	891
ENSGALG00000027758	gga-mir-6673	0	0	1	0	0	3
ENSGALG00000052648	PRR14L	1659	2285	2123	1952	2390	2206
ENSGALG00000006838	NA	250	361	134	263	152	210
ENSGALG00000006872	PISD	5836	4847	5911	7307	2060	2169
ENSGALG00000051488	SFI1	853	925	1422	691	1534	1217
ENSGALG00000006898	EIF4ENIF1	1023	1299	1176	1210	1171	1531
ENSGALG00000006921	DRG1	8796	11545	9948	10115	8936	9532
ENSGALG00000006934	PATZ1	744	985	993	967	669	720
ENSGALG00000006942	PIK3IP1	140	280	197	269	19	95
ENSGALG00000006950	LIMK2	1886	1828	2114	1586	520	707
ENSGALG00000006960	RNF185	5085	4625	5230	6150	1363	1107
ENSGALG00000049331	NA	11	61	13	30	44	66
ENSGALG00000006965	C12orf43	1809	2188	1720	1613	2036	1571
ENSGALG00000006968	HNF1A	31	15	13	1	125	32
ENSGALG00000006979	SPPL3	633	953	711	674	1432	979
ENSGALG00000007072	ACADS	2749	3329	3113	4468	1012	1562
ENSGALG00000026722	UNC119B	190	299	337	427	246	291
ENSGALG00000007102	MLEC	2702	4464	3131	3121	2164	2777
ENSGALG00000007116	CABP1	64	132	56	17	50	30
ENSGALG00000007124	POP5	3679	6036	3909	4210	2472	2852
ENSGALG00000036417	RNF10	2245	3168	2697	2263	1976	1839
ENSGALG00000051836	gga-mir-12229	0	0	0	0	0	0
ENSGALG00000007147	NA	136	200	164	134	90	96
ENSGALG00000040869	NA	190	444	287	224	155	132
ENSGALG00000007153	DYL1	8681	13027	11272	11216	6176	6182
ENSGALG00000046877	NA	1	7	2	2	1	1
ENSGALG00000007185	COQ5	5836	6500	5808	5870	871	1612
ENSGALG00000020999	DYNLL1	1164	1471	1191	1102	608	596
ENSGALG00000049499	NA	6	12	7	4	0	8
ENSGALG00000007195	NA	1808	3101	2027	2306	1312	1538
ENSGALG00000007199	TRIAP1	4232	5160	4682	4115	2128	3007
ENSGALG00000007205	COX6A1	18015	35469	20042	24657	28683	25155
ENSGALG00000041755	NA	37	50	32	2	47	38
ENSGALG00000007227	MSI1	474	1069	619	491	683	556
ENSGALG00000020989	PLA2G1B	11	8	1	8	31	0
ENSGALG00000007236	NA	0	0	0	0	5	0
ENSGALG00000007244	SIRT4	421	505	587	336	584	263
ENSGALG00000017906	RF00015	5	1	1	7	6	2
ENSGALG00000017907	RF00015	0	0	1	2	5	2
ENSGALG00000007247	PXN	401	685	416	482	1100	794
ENSGALG00000027881	RF02271	0	0	1	0	0	0
ENSGALG00000023294	RPLP0	45325	83188	47980	59431	38245	41890
ENSGALG00000007276	GCN1	3645	4542	4570	3688	4370	4653
ENSGALG00000007308	RAB35	1281	1913	1697	1705	883	976
ENSGALG00000007319	BICDL1	10	5	1	29	22	3
ENSGALG00000007354	CIT	1331	1385	1347	1200	1371	1231
ENSGALG00000007373	PRKAB1	4059	4990	4535	5459	1750	1530
ENSGALG00000020975	TMEM233	76	96	63	37	40	24
ENSGALG00000046262	CCDC60	0	84	23	18	6	40
ENSGALG00000007383	HSPB8	9	8	5	10	6	14
ENSGALG00000048256	NA	19	0	13	71	52	40
ENSGALG00000007393	SUDS3	1160	1604	1311	1482	1812	1659
ENSGALG00000007396	TAOK3	809	1315	686	1229	1449	1401
ENSGALG00000007403	PEBP1	78613	101937	79425	92650	12208	20138
ENSGALG00000039903	VSIG10	925	1389	1000	1725	354	362
ENSGALG00000028830	NA	25	122	77	122	173	115
ENSGALG00000007490	DDX54	531	1995	892	931	3054	2349
ENSGALG00000046479	NA	4	12	20	15	22	34
ENSGALG00000047717	APLNR2	7	9	6	12	1	1
ENSGALG00000007512	MORC2	561	1030	549	871	1248	1340
ENSGALG00000011865	SMTN	31	58	49	52	185	297
ENSGALG00000025342	gga-mir-1640	0	0	0	0	0	1
ENSGALG00000047792	SELENOM	241	657	434	851	542	572
ENSGALG00000054099	NA	0	11	9	7	9	0
ENSGALG00000053217	NA	0	0	0	0	0	0
ENSGALG00000044649	P2RX2	0	1	0	0	0	2
ENSGALG00000007665	POLE	638	1312	520	915	2108	1494
ENSGALG00000007698	NA	77	64	77	78	14	23
ENSGALG00000007720	AIFM3	7	0	20	5	101	93
ENSGALG00000026902	P2RX6	164	133	179	172	154	185
ENSGALG00000028023	LRRC74B	101	41	140	102	123	50
ENSGALG00000002204	SLC7A4	8	48	38	17	68	37
ENSGALG00000027369	DGCR6	3616	6185	3886	5032	2882	4134
ENSGALG00000034560	SCARF2	55	357	139	308	720	687
ENSGALG00000007728	NA	91	193	113	29	272	161
ENSGALG00000051125	NA	0	0	0	0	2	1
ENSGALG00000007732	RTN4R	285	250	276	68	128	73
ENSGALG00000033639	NA	0	0	0	0	0	0
ENSGALG00000047400	NA	7	0	0	0	0	0
ENSGALG00000053904	NA	0	0	0	0	0	0
ENSGALG00000053423	NA	0	0	0	0	0	0
ENSGALG00000047823	NA	0	0	6	3	0	5
ENSGALG00000051703	NA	0	0	0	0	0	0
ENSGALG00000051605	NA	0	0	2	1	18	3
ENSGALG00000007758	OSBP2	5	9	49	60	50	66
ENSGALG00000037307	IQCD	338	642	295	722	247	230
ENSGALG00000051213	DUSP21	87	82	79	212	295	75
ENSGALG00000049875	NA	6	23	21	0	0	5
ENSGALG00000050491	SLC35E4	2	1	13	7	1	0
ENSGALG00000048285	TCN2	60	284	211	268	490	404
ENSGALG00000007778	PES1	5561	14465	8321	11123	6006	6553
ENSGALG00000007781	GAL3ST1	17	194	109	114	82	122
ENSGALG00000038952	MTFP1	733	1489	866	1132	1475	850
ENSGALG00000053243	NA	0	11	10	9	5	25
ENSGALG00000051008	NA	0	7	6	3	9	9
ENSGALG00000007840	NA	6	7	3	7	18	3
ENSGALG00000040925	RNF215	14	11	6	2	3	21
ENSGALG00000007907	CCDC157	35	31	1	61	50	186
ENSGALG00000007937	SF3A1	5834	10591	7134	8721	3643	3286
ENSGALG00000007954	NA	1	10	0	0	3	48
ENSGALG00000007964	CASTOR1	46	140	67	110	72	38
ENSGALG00000008037	HORMAD2	24	1	30	59	1	66
ENSGALG00000008040	NA	103	77	63	40	8	97
ENSGALG00000008051	MTMR3	158	622	384	468	1367	1006
ENSGALG00000008059	ASCC2	368	1431	708	1132	942	1078
ENSGALG00000008066	UQCR10	9456	18860	10916	13248	17470	12479
ENSGALG00000008070	ZMAT5	1023	2037	1372	1546	1120	1239
ENSGALG00000040463	CABP7	0	0	1	7	0	4
ENSGALG00000008073	NF2	4913	9682	5178	7868	4010	4587
ENSGALG00000038301	NIPSNAP1	273	642	417	836	658	505
ENSGALG00000029223	THOC5	10287	18500	12563	14933	7047	6454
ENSGALG00000008085	NEFH	0	0	0	0	6	0
ENSGALG00000042213	AP1B1	414	1172	629	882	1055	743
ENSGALG00000025689	RF01200	4	3	3	0	9	6
ENSGALG00000036731	GAS2L1	4	6	0	0	10	6
ENSGALG00000008149	EWSR1	317	750	607	504	836	391
ENSGALG00000050072	EMID1	1	0	2	2	11	11
ENSGALG00000052820	NA	0	0	0	0	0	0
ENSGALG00000027897	DTX1	18	4	2	3	0	1
ENSGALG00000008150	RASAL1	3	1	0	1	31	4
ENSGALG00000008151	WSB2	701	1345	847	1139	1322	1173
ENSGALG00000026517	RFC5	8956	14353	10678	11859	2666	3667
ENSGALG00000020905	KSR2	0	40	36	27	109	6
ENSGALG00000008177	NOS1	0	33	31	86	50	56
ENSGALG00000008201	FBXO21	2618	3249	2714	3627	1445	1535
ENSGALG00000008206	TESC	1613	3734	2291	1776	2253	1981
ENSGALG00000008207	FBXW8	266	543	353	309	712	949
ENSGALG00000008217	RNFT2	142	302	114	178	134	102
ENSGALG00000031821	C15H12orf49	6011	8289	6094	7128	2040	2419
ENSGALG00000025430	NA	4	0	8	7	11	6
ENSGALG00000008238	MED13L	638	1021	891	737	1227	688
ENSGALG00000048057	NA	0	0	0	0	0	2
ENSGALG00000050682	NA	4	0	2	5	0	0
ENSGALG00000054380	NA	9	12	15	17	2	1
ENSGALG00000052978	NA	0	0	0	0	0	0
ENSGALG00000054315	NA	6	2	8	15	0	1
ENSGALG00000036043	TBX3	242	285	224	262	191	184
ENSGALG00000051351	NA	0	1	0	0	0	1
ENSGALG00000052717	NA	0	0	0	0	0	0
ENSGALG00000008253	TBX5	77	86	80	1	0	11
ENSGALG00000008289	RBM19	6763	11108	8103	7604	7599	7785
ENSGALG00000032696	NA	270	622	374	32	100	29
ENSGALG00000008303	LHX5	15	80	46	10	1	8
ENSGALG00000008317	SDSL	191	371	214	105	101	94
ENSGALG00000008319	PLBD2	424	937	567	589	1284	1372
ENSGALG00000008337	NA	46	131	33	35	231	94
ENSGALG00000008357	TPCN1	388	521	510	712	512	425
ENSGALG00000050542	NA	66	26	94	15	56	74
ENSGALG00000050980	NA	182	92	95	54	37	211
ENSGALG00000024335	NA	806	852	659	692	830	565
ENSGALG00000050425	NA	282	293	242	243	72	52
ENSGALG00000034134	ZNF302	791	1556	1235	939	901	641
ENSGALG00000052727	NA	0	0	12	0	0	44
ENSGALG00000039712	DHRS7C	0	0	0	0	0	13
ENSGALG00000042022	GSG1L2	0	0	0	0	0	0
ENSGALG00000041800	GLP2R	5	19	13	2	74	55
ENSGALG00000032452	NA	162	155	198	166	139	151
ENSGALG00000054951	NA	0	0	4	0	0	0
ENSGALG00000041541	NA	0	0	3	0	0	0
ENSGALG00000029660	NA	1	0	0	0	0	0
